Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,665185,-,-,-,27.77,-98.22,-6,93,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2017,1,1,0,30,14,0,0,0,8,14,0,0,0,0,100,174.99,0.164,990,2.656,124.7,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,1,30,14,0,0,0,8,14,0,0,0,0,100,167,0.164,990,2.757,130.5,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,2,30,14,0,0,0,8,14,0,0,0,0,100,153.97,0.164,990,2.904,137.5,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,3,30,14,0,0,0,6,14,0,0,0,0,100,140.71,0.164,990,3.068,148.20000000000002,0.9,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,4,30,15,0,0,0,6,15,0,0,0,0,100,127.52,0.164,990,3.205,169.5,0.6000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,5,30,15,0,0,0,8,15,0,0,0,0,100,114.52,0.164,990,3.2760000000000002,231.4,0.4,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,6,30,15,0,0,0,8,15,0,0,0,0,100,101.83,0.164,1000,3.29,318.6,0.4,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,7,30,15,0,0,0,8,15,0,0,0,0,100,89.62,0.164,1000,3.301,12.4,0.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,8,30,16,63,448,155,8,16,63,448,4,155,100,78.15,0.164,1000,3.334,48.6,0.7000000000000001,7.4126,5.6639,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,9,30,17,95,637,335,8,16,148,299,0,261,95.22,67.81,0.164,1000,3.329,84.9,0.9,13.6171,10.5715,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,10,30,19,109,746,491,8,16,195,420,0,410,86.02,59.2,0.164,1000,3.214,136.9,1.5,22.7081,17.7435,,,,,,,,,,,,,,,,,,,,,,
2017,1,1,11,30,23,108,822,601,8,16,269,302,0,450,67.63,53.19,0.164,1000,2.993,170.4,2.5,25.6707,20.1104,,,,,,,,,,,,,,,,,,,,,,
