Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,131636,-,-,-,38.57,-121.5,-8,15,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2016,1,1,0,30,0,0,0,0,4,-4,0,0,0,0,72.75,163.84,0.12,1010,0.712,83.80000000000001,1.9000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,1,30,0,0,0,0,1,-4,0,0,0,0,70.82000000000001,156.81,0.12,1010,0.733,85.80000000000001,1.8,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,2,30,0,0,0,0,1,-4,0,0,0,0,69.55,146.3,0.12,1010,0.754,89.9,1.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,3,30,0,0,0,0,1,-4,0,0,0,0,69.17,134.8,0.12,1010,0.767,91,1.4000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,4,30,0,0,0,0,1,-4,0,0,0,0,70.03,123.09,0.12,1010,0.772,88.60000000000001,1.3,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,5,30,0,0,0,0,4,-4,0,0,0,0,70.5,111.51,0.12,1010,0.768,83.60000000000001,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,6,30,0,0,0,0,4,-4,0,0,0,0,70.26,100.31,0.12,1010,0.761,80.60000000000001,1.2000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,7,30,1,0,0,0,4,-4,0,0,0,0,66.26,89.75,0.12,1010,0.753,75.10000000000001,1.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,8,30,4,55,459,134,4,-3,55,459,4,134,64.52,80.17,0.12,1010,0.743,74.60000000000001,1.4000000000000001,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,9,30,6,77,680,287,4,-3,77,680,4,287,49.620000000000005,72.01,0.12,1010,0.731,77.30000000000001,1.7000000000000002,14.4247,11.1398,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,10,30,8,82,801,410,4,-3,82,801,4,410,43.53,65.83,0.12,1010,0.719,116.80000000000001,1.9000000000000001,21.7324,16.9039,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,11,30,9,87,842,479,4,-3,87,842,4,479,41.44,62.25,0.12,1010,0.711,154.60000000000002,2.2,26.0426,20.3123,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,12,30,10,87,847,489,4,-2,87,847,4,489,40.13,61.75,0.12,1010,0.71,162.5,2.5,26.6721,20.8100,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,13,30,10,85,816,438,1,-2,85,816,0,438,41.11,64.38,0.12,1010,0.714,162.4,2.5,23.4682,18.2761,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,14,30,9,78,737,332,0,-2,78,737,0,332,44.83,69.8,0.12,1010,0.72,162.20000000000002,2.1,17.0267,13.1886,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,15,30,7,61,578,187,1,-1,61,578,0,187,56.75,77.39,0.12,1010,0.724,161,1.3,8.9789,6.8700,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,16,30,5,24,207,36,1,0,24,207,0,36,67.63,86.58,0.11900000000000001,1010,0.725,150.20000000000002,0.9,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
