Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1220384,-,-,-,40.21,-74.74,-5,22,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2020,1,1,0,30,1,0,0,0,4,-0.4,0,0,0,0,90.26,161.86,0.13,1003,0.9,277,1.8,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,1,30,0.5,0,0,0,4,-0.7000000000000001,0,0,0,0,91.44,154.75,0.13,1004,0.9,272,1.7000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,2,30,0,0,0,0,4,-0.9,0,0,0,0,93.47,144.51,0.13,1004,0.9,270,1.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,3,30,-0.30000000000000004,0,0,0,4,-1.1,0,0,0,0,94.39,133.29,0.13,1004,0.8,271,1.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,4,30,-0.6000000000000001,0,0,0,4,-1.3,0,0,0,0,95.11,121.85000000000001,0.13,1004,0.8,273,1.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,5,30,-0.6000000000000001,0,0,0,4,-1.5,0,0,0,0,93.32000000000001,110.55,0.13,1005,0.7000000000000001,276,1.7000000000000002,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,6,30,-0.6000000000000001,0,0,0,4,-2,0,0,0,0,90.2,99.64,0.13,1005,0.7000000000000001,276,1.8,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,7,30,0.2,10,101,12,4,-2.5,2,0,71,2,82.29,89,0.13,1006,0.7000000000000001,274,2.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,8,30,1.8,47,574,145,4,-2.3000000000000003,24,0,100,24,74.31,80.12,0.13,1007,0.6000000000000001,275,2.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
