Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1502369,-,-,-,27.76,-98.23,-6,94,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2021,1,1,0,30,0,0,0,0,0,0,0,-0.1,175,0,0.16,4.3,1.1,283,75.14,3.9000000000000004,1003
2021,1,1,1,30,0,0,0,0,0,0,0,0,167.01,0,0.16,3.5,0.9,285,77.10000000000001,3.6,1003
2021,1,1,2,30,0,0,0,0,0,0,0,0,153.98,0,0.16,2.9000000000000004,0.8,289,79.61,3.2,1003
2021,1,1,3,30,0,0,0,0,0,0,0,0,140.72,0,0.16,2.3000000000000003,0.7000000000000001,289,82.58,2.7,1004
2021,1,1,4,30,0,0,0,0,0,0,0,0,127.53,0,0.16,2.1,0.8,285,84.8,2.3000000000000003,1005
2021,1,1,5,30,0,0,0,0,0,0,0,-0.2,114.53,0,0.16,2.3000000000000003,0.8,284,84.04,2.2,1006
2021,1,1,6,30,0,0,0,0,0,0,0,-0.6000000000000001,101.84,0,0.16,2.6,0.8,288,81.27,2.3000000000000003,1006
2021,1,1,7,30,0,0,0,0,0,0,0,-1,89.19,0,0.16,3.2,0.9,294,73.05,3.4000000000000004,1007
2021,1,1,8,30,42,693,185,42,693,185,1,-1.2000000000000002,78.08,0,0.16,3.6,0.9,304,60.15,5.9,1008
2021,1,1,9,30,58,859,383,58,859,383,0,-1.4000000000000001,67.77,0,0.16,3.8000000000000003,0.9,319,48.54,8.9,1009
2021,1,1,10,30,66,936,546,66,936,546,0,-1.5,59.18,0,0.16,3.8000000000000003,0.9,325,40.36,11.5,1008
2021,1,1,11,30,70,974,654,70,974,654,0,-1.1,53.17,0,0.16,3.5,0.9,319,36.21,13.600000000000001,1008
2021,1,1,12,30,192,608,577,74,983,697,7,-0.7000000000000001,50.7,0,0.16,3.3000000000000003,0.9,311,33.68,15.200000000000001,1007
2021,1,1,13,30,73,976,670,73,976,670,0,-0.8,52.27,0,0.16,3.2,0.9,308,31.26,16.3,1006
2021,1,1,14,30,69,940,573,69,940,573,0,-1.1,57.56,0,0.16,3,1,309,29.810000000000002,16.6,1006
2021,1,1,15,30,144,425,319,65,863,421,7,-1.3,65.66,0,0.16,2.6,1,313,30.44,16.1,1006
2021,1,1,16,30,97,156,135,51,715,228,7,-0.5,75.65,7,0.16,1.7000000000000002,1,317,37.87,13.600000000000001,1006
2021,1,1,17,30,21,66,25,21,313,38,7,3.6,86.75,7,0.16,1.2000000000000002,1,319,57.57,11.700000000000001,1007
2021,1,1,18,30,0,0,0,0,0,0,7,2.7,99.04,0,0.16,1.4000000000000001,1.1,325,63.78,9.200000000000001,1008
2021,1,1,19,30,0,0,0,0,0,0,7,2.4000000000000004,111.63,0,0.16,1.5,1.2000000000000002,334,65.38,8.5,1009
2021,1,1,20,30,0,0,0,0,0,0,7,2.4000000000000004,124.58,0,0.16,1.5,1.3,346,69.05,7.7,1010
