Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1242255,-,-,-,40.73,-74.06,-5,18,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2020,1,1,0,30,1.3,0,0,0,4,0,0,0,0,0,90.76,161.19,0.1,1002,0.9,272,2.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,1,30,0.8,0,0,0,4,-0.4,0,0,0,0,91.8,154.04,0.1,1003,0.9,268,2.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,2,30,0.4,0,0,0,4,-0.7000000000000001,0,0,0,0,92.43,143.87,0.1,1003,0.8,266,2.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,3,30,0.1,0,0,0,7,-0.9,0,0,0,0,92.88,132.74,0.1,1003,0.8,267,2.7,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,4,30,0.1,0,0,0,7,-1.2000000000000002,0,0,0,0,91.17,121.39,0.1,1003,0.8,270,2.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,5,30,0.2,0,0,0,8,-1.5,0,0,0,0,88.34,110.18,0.1,1003,0.8,271,2.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,6,30,0.1,0,0,0,4,-1.7000000000000002,0,0,0,0,87.42,99.37,0.1,1004,0.7000000000000001,269,2.9000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,7,30,0.6000000000000001,13,118,15,4,-2,5,0,71,5,82.76,88.86,0.1,1004,0.7000000000000001,267,3.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,8,30,1.6,47,561,144,4,-1.7000000000000002,49,44,100,57,78.59,80.09,0.1,1005,0.7000000000000001,268,3.4000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,9,30,2.5,63,745,286,4,-1.8,92,23,0,99,73.11,72.55,0.1,1006,0.7000000000000001,272,3.7,4.9508,3.8203,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,10,30,3.1,70,829,394,4,-2.3000000000000003,151,93,0,187,67.52,67.01,0.1,1005,0.7000000000000001,276,3.8000000000000003,9.8205,7.6302,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,11,30,3.4000000000000004,76,853,449,4,-2.7,160,71,0,191,64.47,64.06,0.1,1005,0.7000000000000001,279,3.8000000000000003,10.2573,7.9900,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,12,30,3.5,78,846,448,4,-2.9000000000000004,100,0,0,100,63.13,64.08,0.1,1005,0.7000000000000001,281,3.8000000000000003,5.3695,4.1826,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,13,30,3.4000000000000004,73,815,391,4,-2.8000000000000003,88,2,0,89,63.72,67.05,0.1,1005,0.7000000000000001,281,3.6,4.6724,3.6302,,,,,,,,,,,,,,,,,,,,,,
