Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1242255,-,-,-,40.73,-74.06,-5,18,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.1.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2018,1,1,0,30,-13.5,0,0,0,4,-15.8,0,0,0,0,82.81,161.17000000000002,0.48,1025,0.2,322,2.9000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,1,30,-13.700000000000001,0,0,0,4,-15.700000000000001,0,0,0,0,84.74,154.04,0.48,1025,0.2,321,2.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,2,30,-13.8,0,0,0,4,-15.700000000000001,0,0,0,0,85.31,143.89000000000001,0.48,1025,0.2,320,2.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,3,30,-14,0,0,0,4,-15.8,0,0,0,0,86.57000000000001,132.77,0.48,1025,0.2,319,2.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,4,30,-14.100000000000001,0,0,0,4,-15.8,0,0,0,0,87.16,121.41,0.48,1025,0.2,318,2.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,5,30,-14.3,0,0,0,4,-15.8,0,0,0,0,88.09,110.2,0.48,1026,0.2,317,2.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,6,30,-14.5,0,0,0,4,-16,0,0,0,0,88.59,99.39,0.48,1026,0.2,315,2.8000000000000003,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,7,30,-13.9,13,195,17,4,-16.1,9,77,57,11,83.75,88.84,0.48,1027,0.2,315,2.9000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,8,30,-12.200000000000001,42,692,161,4,-15.600000000000001,51,381,100,117,75.84,80.09,0.48,1027,0.2,317,3.1,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,9,30,-10.5,58,847,312,4,-14.9,70,605,0,252,70.27,72.53,0.48,1027,0.2,319,3.3000000000000003,12.6044,9.7264,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,10,30,-9.3,68,915,426,0,-14.600000000000001,82,775,0,385,65.32000000000001,66.99,0.48,1027,0.2,319,3.3000000000000003,20.2219,15.7120,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,11,30,-8.4,74,944,487,4,-14.4,100,706,0,409,62.07,64.03,0.48,1026,0.2,317,3.2,21.9692,17.1134,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,12,30,-7.800000000000001,74,944,487,0,-14.200000000000001,87,812,0,443,60.2,64.03,0.48,1026,0.2,315,3.3000000000000003,23.7955,18.5361,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,13,30,-7.6000000000000005,69,914,426,0,-14.100000000000001,71,865,0,409,59.82,66.99,0.48,1025,0.2,314,3.2,21.4825,16.6915,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,14,30,-7.7,60,840,312,4,-14,67,670,0,268,60.82,72.53,0.48,1025,0.2,312,3.1,13.4046,10.3440,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,15,30,-8.4,43,677,160,4,-13.9,50,405,100,120,64.38,80.08,0.48,1026,0.2,308,2.9000000000000004,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,16,30,-9.3,13,183,17,4,-14.200000000000001,9,79,57,11,67.78,88.84,0.48,1026,0.2,304,2.7,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,17,30,-10,0,0,0,4,-14.3,0,0,0,0,70.88,99.38,0.48,1026,0.2,298,2.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,18,30,-10.3,0,0,0,4,-14.4,0,0,0,0,71.97,110.19,0.48,1026,0.2,294,2.6,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,19,30,-10.8,0,0,0,4,-14.4,0,0,0,0,74.55,121.41,0.48,1026,0.2,280,2.5,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,20,30,-10.600000000000001,0,0,0,4,-14.200000000000001,0,0,0,0,74.93,132.75,0.48,1026,0.2,275,2.7,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,
